referrer,views_total,views_unique
community.home-assistant.io,42,18
github.com,40,3
libhunt.com,12,5
Google,4,4
Bing,3,2
pypi.org,2,2
DuckDuckGo,2,1
community-home--assistant-io.translate.goog,1,1
