time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-21 00:00:00+00:00,1,1,3,2
2023-01-22 00:00:00+00:00,2,2,7,3
2023-01-23 00:00:00+00:00,2,2,16,3
2023-01-24 00:00:00+00:00,281,4,124,4
2023-01-25 00:00:00+00:00,24,4,119,5
2023-01-26 00:00:00+00:00,10,4,37,2
2023-01-27 00:00:00+00:00,4,2,30,4
2023-01-28 00:00:00+00:00,32,6,96,3
2023-01-29 00:00:00+00:00,26,6,102,9
2023-01-30 00:00:00+00:00,9,6,34,4
2023-01-31 00:00:00+00:00,4,2,35,3
2023-02-01 00:00:00+00:00,8,3,20,2
2023-02-02 00:00:00+00:00,18,6,61,2
2023-02-03 00:00:00+00:00,14,3,40,2
