referrer,views_total,views_unique
github.com,77,6
community.home-assistant.io,34,21
Google,27,7
pypi.org,5,1
bkbilly.gitbook.io,4,3
randomgithubrepo.site,3,1
com.google.android.gm,2,1
search.brave.com,1,1
yandex.ru,1,1
