time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-16 00:00:00+00:00,4,4,0,0
2026-08-17 00:00:00+00:00,4,4,1,1
2026-08-18 00:00:00+00:00,26,14,0,0
2026-08-19 00:00:00+00:00,13,10,0,0
2026-08-20 00:00:00+00:00,3,2,1,1
2026-08-21 00:00:00+00:00,11,8,4,2
2026-08-22 00:00:00+00:00,7,7,2,2
2026-08-23 00:00:00+00:00,34,14,3,3
2026-08-24 00:00:00+00:00,28,10,3,3
2026-08-25 00:00:00+00:00,6,6,7,5
2026-08-26 00:00:00+00:00,19,8,0,0
2026-08-27 00:00:00+00:00,36,4,1,1
2026-08-28 00:00:00+00:00,22,10,1,1
2026-08-29 00:00:00+00:00,3,3,0,0
