time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-12 00:00:00+00:00,15,6,5,1
2026-08-13 00:00:00+00:00,24,11,0,0
2026-08-14 00:00:00+00:00,26,14,2,2
2026-08-15 00:00:00+00:00,10,5,1,1
2026-08-16 00:00:00+00:00,4,4,0,0
2026-08-17 00:00:00+00:00,4,4,1,1
2026-08-18 00:00:00+00:00,26,14,0,0
2026-08-19 00:00:00+00:00,13,10,0,0
2026-08-20 00:00:00+00:00,3,2,1,1
2026-08-21 00:00:00+00:00,11,8,4,2
2026-08-22 00:00:00+00:00,7,7,2,2
2026-08-23 00:00:00+00:00,34,14,3,3
2026-08-24 00:00:00+00:00,28,10,3,3
2026-08-25 00:00:00+00:00,6,6,7,5
