time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-17 00:00:00+00:00,7,5,3.0,3.0
2025-10-18 00:00:00+00:00,11,6,6.0,4.0
2025-10-19 00:00:00+00:00,11,6,6.0,6.0
2025-10-20 00:00:00+00:00,21,10,41.0,6.0
2025-10-21 00:00:00+00:00,5,5,15.0,5.0
2025-10-22 00:00:00+00:00,14,8,1.0,1.0
2025-10-23 00:00:00+00:00,15,5,1.0,1.0
2025-10-24 00:00:00+00:00,23,8,1.0,1.0
2025-10-25 00:00:00+00:00,10,5,4.0,4.0
2025-10-26 00:00:00+00:00,6,4,3.0,3.0
2025-10-27 00:00:00+00:00,4,4,7.0,3.0
2025-10-28 00:00:00+00:00,3,2,4.0,2.0
2025-10-29 00:00:00+00:00,32,11,,
2025-10-30 00:00:00+00:00,5,4,75.0,5.0
