time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-28 00:00:00+00:00,5,3,85,4
2022-11-29 00:00:00+00:00,1,1,56,1
2022-11-30 00:00:00+00:00,11,9,55,3
2022-12-01 00:00:00+00:00,18,10,71,3
2022-12-02 00:00:00+00:00,6,6,59,3
2022-12-03 00:00:00+00:00,4,4,24,4
2022-12-04 00:00:00+00:00,3,3,18,4
2022-12-05 00:00:00+00:00,6,5,48,3
2022-12-06 00:00:00+00:00,6,6,20,2
2022-12-07 00:00:00+00:00,26,8,161,1
2022-12-08 00:00:00+00:00,3,3,4,3
2022-12-09 00:00:00+00:00,3,3,20,2
2022-12-10 00:00:00+00:00,2,2,24,2
2022-12-11 00:00:00+00:00,1,1,7,2
