time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-10 00:00:00+00:00,5,5,13,6
2025-12-11 00:00:00+00:00,11,7,13,2
2025-12-12 00:00:00+00:00,14,6,3,1
2025-12-13 00:00:00+00:00,3,3,1,1
2025-12-14 00:00:00+00:00,10,6,1,1
2025-12-15 00:00:00+00:00,10,6,6,1
2025-12-16 00:00:00+00:00,10,5,2,2
2025-12-17 00:00:00+00:00,12,4,1,1
2025-12-18 00:00:00+00:00,8,4,4,2
2025-12-19 00:00:00+00:00,10,6,5,3
2025-12-20 00:00:00+00:00,14,6,34,4
2025-12-21 00:00:00+00:00,20,13,2,2
2025-12-22 00:00:00+00:00,11,7,4,1
2025-12-23 00:00:00+00:00,7,3,5,1
