time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-30 00:00:00+00:00,9.0,6.0,34,4
2023-01-31 00:00:00+00:00,4.0,2.0,35,3
2023-02-01 00:00:00+00:00,8.0,3.0,20,2
2023-02-02 00:00:00+00:00,18.0,6.0,61,2
2023-02-03 00:00:00+00:00,15.0,4.0,40,2
2023-02-04 00:00:00+00:00,4.0,2.0,12,3
2023-02-05 00:00:00+00:00,4.0,2.0,9,2
2023-02-06 00:00:00+00:00,5.0,3.0,10,2
2023-02-07 00:00:00+00:00,2.0,2.0,73,5
2023-02-08 00:00:00+00:00,22.0,7.0,74,3
2023-02-09 00:00:00+00:00,52.0,5.0,80,2
2023-02-10 00:00:00+00:00,35.0,5.0,40,3
2023-02-11 00:00:00+00:00,5.0,3.0,5,2
2023-02-12 00:00:00+00:00,,,2,2
