time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-25 00:00:00+00:00,34,9,0,0
2026-06-26 00:00:00+00:00,16,7,0,0
2026-06-27 00:00:00+00:00,10,5,0,0
2026-06-28 00:00:00+00:00,20,9,1,1
2026-06-29 00:00:00+00:00,11,5,0,0
2026-06-30 00:00:00+00:00,14,5,0,0
2026-07-01 00:00:00+00:00,10,5,0,0
2026-07-02 00:00:00+00:00,27,10,0,0
2026-07-03 00:00:00+00:00,4,4,1,1
2026-07-04 00:00:00+00:00,23,14,0,0
2026-07-05 00:00:00+00:00,32,17,1,1
2026-07-06 00:00:00+00:00,13,7,1,1
2026-07-07 00:00:00+00:00,7,7,0,0
2026-07-08 00:00:00+00:00,11,6,0,0
