url_path,views_total,views_unique
/richibrics/IoTuring,14,10
/richibrics/IoTuring/blob/main/docs/images/device_info.png,3,2
/richibrics/IoTuring/tree/github-repo-stats/richibrics/IoTuring,3,2
/richibrics/IoTuring/pulls,2,2
/richibrics/IoTuring/tree/github-repo-stats,2,2
/richibrics/IoTuring/actions,1,1
/richibrics/IoTuring/actions/runs/26071293871/workflow,1,1
/richibrics/IoTuring/actions/runs/26427606450/workflow,1,1
/richibrics/IoTuring/actions/runs/26671047645/workflow,1,1
/richibrics/IoTuring/blob/main/docker-compose.yaml,1,1
