time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-25 00:00:00+00:00,4.0,3.0,1.0,1.0
2023-02-26 00:00:00+00:00,1.0,1.0,14.0,6.0
2023-02-27 00:00:00+00:00,2.0,2.0,3.0,3.0
2023-02-28 00:00:00+00:00,1.0,1.0,2.0,2.0
2023-03-01 00:00:00+00:00,1.0,1.0,3.0,2.0
2023-03-02 00:00:00+00:00,5.0,4.0,15.0,8.0
2023-03-03 00:00:00+00:00,2.0,2.0,,
2023-03-04 00:00:00+00:00,1.0,1.0,7.0,6.0
2023-03-05 00:00:00+00:00,1.0,1.0,,
2023-03-06 00:00:00+00:00,2.0,2.0,3.0,1.0
2023-03-07 00:00:00+00:00,2.0,2.0,7.0,5.0
2023-03-08 00:00:00+00:00,2.0,2.0,4.0,4.0
2023-03-09 00:00:00+00:00,1.0,1.0,20.0,4.0
2023-03-10 00:00:00+00:00,,,16.0,7.0
