url_path,views_total,views_unique
/richibrics/IoTuring,64,14
/richibrics/IoTuring/actions/new,32,1
/richibrics/IoTuring/graphs/traffic,21,1
/richibrics/IoTuring/tree/github-repo-stats,17,1
/richibrics/IoTuring/pulse,16,1
/richibrics/IoTuring/blob/main/README.md,6,2
/richibrics/IoTuring/blob/github-repo-stats/.github/workflows/repostats.yml,6,1
/richibrics/IoTuring/issues,6,1
/richibrics/IoTuring/tree/github-repo-stats/.github/workflows,6,1
/richibrics/IoTuring/tree/github-repo-stats/richibrics/IoTuring,6,1
