referrer,views_total,views_unique
github.com,41,5
community.home-assistant.io,37,28
bkbilly.gitbook.io,35,5
Google,33,7
l.facebook.com,2,1
Bing,1,1
DuckDuckGo,1,1
linkedin.com,1,1
