url_path,views_total,views_unique
/richibrics/IoTuring,31,19
/richibrics/IoTuring/blob/main/docs/Autostart tips.md,9,2
/richibrics/IoTuring/blob/main/docs/images/device_info.png,4,4
/richibrics/IoTuring/tree/main/docs,4,2
/richibrics/IoTuring/blob/main/docs/IoTuring.service,3,1
/richibrics/IoTuring/issues,2,2
/richibrics/IoTuring/actions/runs/20732993794/workflow,1,1
/richibrics/IoTuring/blob/main/docs/IoTuring-restart.service,1,1
/richibrics/IoTuring/blob/main/docs/images/linux.png,1,1
/richibrics/IoTuring/issues/137,1,1
