time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-30 00:00:00+00:00,2,2,1,1
2026-08-31 00:00:00+00:00,241,160,1,1
2026-09-01 00:00:00+00:00,7,7,10,3
2026-09-02 00:00:00+00:00,7,6,14,3
2026-09-03 00:00:00+00:00,1171,5,4,1
2026-09-04 00:00:00+00:00,16,4,1,1
2026-09-05 00:00:00+00:00,18,8,4,4
2026-09-06 00:00:00+00:00,13,8,0,0
2026-09-07 00:00:00+00:00,5,3,2,2
2026-09-08 00:00:00+00:00,3,3,8,8
2026-09-09 00:00:00+00:00,4,4,8,8
2026-09-10 00:00:00+00:00,52,12,9,9
2026-09-11 00:00:00+00:00,25,15,14,14
2026-09-12 00:00:00+00:00,16,7,7,7
