time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-20 00:00:00+00:00,6,3,5.0,5.0
2024-05-21 00:00:00+00:00,2,2,6.0,4.0
2024-05-22 00:00:00+00:00,7,4,17.0,5.0
2024-05-23 00:00:00+00:00,2,2,55.0,8.0
2024-05-24 00:00:00+00:00,6,4,42.0,4.0
2024-05-25 00:00:00+00:00,3,3,5.0,3.0
2024-05-26 00:00:00+00:00,6,3,41.0,4.0
2024-05-27 00:00:00+00:00,2,2,14.0,5.0
2024-05-28 00:00:00+00:00,2,2,7.0,3.0
2024-05-29 00:00:00+00:00,2,2,9.0,3.0
2024-05-30 00:00:00+00:00,2,2,8.0,5.0
2024-05-31 00:00:00+00:00,2,2,,
2024-06-01 00:00:00+00:00,2,2,14.0,5.0
2024-06-02 00:00:00+00:00,10,6,1.0,1.0
