time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-29 00:00:00+00:00,2,2,9.0,3.0
2024-05-30 00:00:00+00:00,2,2,8.0,5.0
2024-05-31 00:00:00+00:00,2,2,,
2024-06-01 00:00:00+00:00,2,2,14.0,5.0
2024-06-02 00:00:00+00:00,11,7,1.0,1.0
2024-06-03 00:00:00+00:00,7,4,15.0,5.0
2024-06-04 00:00:00+00:00,2,2,7.0,3.0
2024-06-05 00:00:00+00:00,2,2,19.0,5.0
2024-06-06 00:00:00+00:00,11,6,54.0,5.0
2024-06-07 00:00:00+00:00,8,4,6.0,4.0
2024-06-08 00:00:00+00:00,9,5,10.0,3.0
2024-06-09 00:00:00+00:00,6,3,7.0,6.0
2024-06-10 00:00:00+00:00,5,5,22.0,6.0
2024-06-11 00:00:00+00:00,2,2,29.0,11.0
