time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-07 00:00:00+00:00,5,3,2,2
2026-09-08 00:00:00+00:00,3,3,8,8
2026-09-09 00:00:00+00:00,4,4,8,8
2026-09-10 00:00:00+00:00,52,12,9,9
2026-09-11 00:00:00+00:00,25,15,14,14
2026-09-12 00:00:00+00:00,16,7,7,7
2026-09-13 00:00:00+00:00,27,16,10,2
2026-09-14 00:00:00+00:00,4,4,2,2
2026-09-15 00:00:00+00:00,3,3,2,2
2026-09-16 00:00:00+00:00,21,14,2,2
2026-09-17 00:00:00+00:00,11,4,1,1
2026-09-18 00:00:00+00:00,30,24,3,3
2026-09-19 00:00:00+00:00,27,13,5,2
2026-09-20 00:00:00+00:00,20,10,2,2
