time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-21 00:00:00+00:00,5.0,2.0,11,5
2024-12-22 00:00:00+00:00,2.0,2.0,2,2
2024-12-23 00:00:00+00:00,2.0,1.0,13,6
2024-12-24 00:00:00+00:00,,,13,5
2024-12-25 00:00:00+00:00,4.0,3.0,18,5
2024-12-26 00:00:00+00:00,1.0,1.0,5,3
2024-12-27 00:00:00+00:00,2.0,1.0,16,7
2024-12-28 00:00:00+00:00,1.0,1.0,6,3
2024-12-29 00:00:00+00:00,2.0,1.0,3,2
2024-12-30 00:00:00+00:00,1.0,1.0,9,4
2024-12-31 00:00:00+00:00,1.0,1.0,2,2
2025-01-01 00:00:00+00:00,2.0,1.0,12,3
2025-01-02 00:00:00+00:00,,,9,6
2025-01-03 00:00:00+00:00,1.0,1.0,12,4
