time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-28 00:00:00+00:00,8.0,3.0,26,8
2024-06-29 00:00:00+00:00,,,6,1
2024-06-30 00:00:00+00:00,9.0,3.0,10,5
2024-07-01 00:00:00+00:00,1.0,1.0,1,1
2024-07-02 00:00:00+00:00,1.0,1.0,5,2
2024-07-03 00:00:00+00:00,4.0,3.0,13,3
2024-07-04 00:00:00+00:00,,,9,5
2024-07-05 00:00:00+00:00,,,2,2
2024-07-06 00:00:00+00:00,3.0,3.0,26,1
2024-07-07 00:00:00+00:00,,,8,2
2024-07-08 00:00:00+00:00,3.0,3.0,5,2
2024-07-09 00:00:00+00:00,1.0,1.0,7,4
2024-07-10 00:00:00+00:00,1.0,1.0,8,6
2024-07-11 00:00:00+00:00,4.0,2.0,7,3
