time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-12 00:00:00+00:00,33,12,7,2
2026-06-13 00:00:00+00:00,30,13,2,1
2026-06-14 00:00:00+00:00,30,10,1,1
2026-06-15 00:00:00+00:00,26,8,1,1
2026-06-16 00:00:00+00:00,35,13,1,1
2026-06-17 00:00:00+00:00,6,5,0,0
2026-06-18 00:00:00+00:00,34,10,1,1
2026-06-19 00:00:00+00:00,43,14,0,0
2026-06-20 00:00:00+00:00,50,11,1,1
2026-06-21 00:00:00+00:00,32,12,0,0
2026-06-22 00:00:00+00:00,17,7,4,2
2026-06-23 00:00:00+00:00,30,6,2,1
2026-06-24 00:00:00+00:00,41,14,1,1
2026-06-25 00:00:00+00:00,34,9,0,0
