time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-26 00:00:00+00:00,6,4,3.0,3.0
2025-10-27 00:00:00+00:00,4,4,7.0,3.0
2025-10-28 00:00:00+00:00,3,2,4.0,2.0
2025-10-29 00:00:00+00:00,32,11,,
2025-10-30 00:00:00+00:00,6,5,75.0,5.0
2025-10-31 00:00:00+00:00,4,4,2.0,2.0
2025-11-01 00:00:00+00:00,3,3,2.0,2.0
2025-11-02 00:00:00+00:00,3,3,1.0,1.0
2025-11-03 00:00:00+00:00,16,6,6.0,2.0
2025-11-04 00:00:00+00:00,5,3,5.0,4.0
2025-11-05 00:00:00+00:00,10,6,5.0,2.0
2025-11-06 00:00:00+00:00,18,14,13.0,3.0
2025-11-07 00:00:00+00:00,15,7,21.0,7.0
2025-11-08 00:00:00+00:00,16,5,26.0,1.0
