url_path,views_total,views_unique
/richibrics/IoTuring,141,68
/richibrics/IoTuring/issues,29,9
/richibrics/IoTuring/blob/main/docs/Autostart%20tips.md,19,5
/richibrics/IoTuring/blob/main/docs/IoTuring.service,14,4
/richibrics/IoTuring/tree/main/IoTuring,13,5
/richibrics/IoTuring/blob/main/docs/IoTuring-restart.service,10,3
/richibrics/IoTuring/blob/main/IoTuring/Warehouse/Deployments/HomeAssistantWarehouse/HomeAssistantWarehouse.py,10,3
/richibrics/IoTuring/pulls,9,4
/richibrics/IoTuring/tree/main/IoTuring/Warehouse,9,4
/richibrics/IoTuring/tree/main/IoTuring/Settings,7,4
