time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-21 00:00:00+00:00,1.0,1.0,8,6
2024-11-22 00:00:00+00:00,3.0,1.0,16,4
2024-11-23 00:00:00+00:00,,,9,4
2024-11-24 00:00:00+00:00,2.0,1.0,9,4
2024-11-25 00:00:00+00:00,,,8,3
2024-11-26 00:00:00+00:00,,,20,8
2024-11-27 00:00:00+00:00,,,9,4
2024-11-28 00:00:00+00:00,1.0,1.0,1,1
2024-11-29 00:00:00+00:00,1.0,1.0,8,4
2024-11-30 00:00:00+00:00,2.0,1.0,16,6
2024-12-01 00:00:00+00:00,1.0,1.0,22,7
2024-12-02 00:00:00+00:00,3.0,2.0,19,8
2024-12-03 00:00:00+00:00,1.0,1.0,15,8
2024-12-04 00:00:00+00:00,2.0,1.0,11,4
