time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-26 00:00:00+00:00,15,5,0,0
2026-05-27 00:00:00+00:00,18,9,0,0
2026-05-28 00:00:00+00:00,23,10,1,1
2026-05-29 00:00:00+00:00,10,5,2,2
2026-05-30 00:00:00+00:00,31,9,0,0
2026-05-31 00:00:00+00:00,32,23,0,0
2026-06-01 00:00:00+00:00,12,6,0,0
2026-06-02 00:00:00+00:00,21,12,2,1
2026-06-03 00:00:00+00:00,123,54,1,1
2026-06-04 00:00:00+00:00,8,6,1,1
2026-06-05 00:00:00+00:00,69,37,4,1
2026-06-06 00:00:00+00:00,15,6,1,1
2026-06-07 00:00:00+00:00,28,9,7,6
2026-06-08 00:00:00+00:00,25,10,4,2
