url_path,views_total,views_unique
/richibrics/IoTuring,76,48
/richibrics/IoTuring/releases,5,4
/richibrics/IoTuring/tree/github-repo-stats/richibrics/IoTuring,5,1
/richibrics/IoTuring/releases/tag/v2024.6.1,4,3
/richibrics/IoTuring/tree/main/IoTuring,4,2
/richibrics/IoTuring/tree/github-repo-stats/richibrics/IoTuring/ghrs-data,3,1
/richibrics/IoTuring/tree/main,3,1
/richibrics/IoTuring/blob/9c07015094fdeb38d0175608c4256a90e9eff96e/.github/workflows/build-release-publish-with-vtag.yml,2,1
/richibrics/IoTuring/blob/github-repo-stats/richibrics/IoTuring/ghrs-data/stargazers.csv,2,1
/richibrics/IoTuring/blob/main/docs/Autostart%20tips.md,2,1
