time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-27 00:00:00+00:00,4.0,2.0,44,12
2024-10-28 00:00:00+00:00,,,33,18
2024-10-29 00:00:00+00:00,1.0,1.0,6,6
2024-10-30 00:00:00+00:00,,,11,5
2024-10-31 00:00:00+00:00,2.0,2.0,4,2
2024-11-01 00:00:00+00:00,2.0,2.0,16,2
2024-11-02 00:00:00+00:00,,,9,3
2024-11-03 00:00:00+00:00,,,6,4
2024-11-04 00:00:00+00:00,4.0,4.0,26,8
2024-11-05 00:00:00+00:00,,,6,2
2024-11-06 00:00:00+00:00,1.0,1.0,3,3
2024-11-07 00:00:00+00:00,2.0,1.0,12,4
2024-11-08 00:00:00+00:00,,,4,3
2024-11-09 00:00:00+00:00,,,9,5
