time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-17 00:00:00+00:00,9,4,4,4
2026-07-18 00:00:00+00:00,16,7,0,0
2026-07-19 00:00:00+00:00,15,5,1,1
2026-07-20 00:00:00+00:00,69,23,0,0
2026-07-21 00:00:00+00:00,29,15,2,1
2026-07-22 00:00:00+00:00,33,18,1,1
2026-07-23 00:00:00+00:00,20,9,4,4
2026-07-24 00:00:00+00:00,11,5,1,1
2026-07-25 00:00:00+00:00,5,5,1,1
2026-07-26 00:00:00+00:00,39,5,1,1
2026-07-27 00:00:00+00:00,15,6,1,1
2026-07-28 00:00:00+00:00,30,15,1,1
2026-07-29 00:00:00+00:00,13,7,0,0
2026-07-30 00:00:00+00:00,21,8,0,0
