time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-19 00:00:00+00:00,8.0,6.0,29,3
2024-06-20 00:00:00+00:00,3.0,3.0,12,4
2024-06-21 00:00:00+00:00,3.0,3.0,22,3
2024-06-22 00:00:00+00:00,1.0,1.0,3,2
2024-06-23 00:00:00+00:00,4.0,3.0,3,2
2024-06-24 00:00:00+00:00,2.0,2.0,13,6
2024-06-25 00:00:00+00:00,1.0,1.0,11,4
2024-06-26 00:00:00+00:00,,,11,4
2024-06-27 00:00:00+00:00,,,27,8
2024-06-28 00:00:00+00:00,8.0,3.0,26,8
2024-06-29 00:00:00+00:00,,,6,1
2024-06-30 00:00:00+00:00,9.0,3.0,10,5
2024-07-01 00:00:00+00:00,1.0,1.0,1,1
2024-07-02 00:00:00+00:00,1.0,1.0,1,1
