url_path,views_total,views_unique
/richibrics/IoTuring,93,40
/richibrics/IoTuring/commits/main,24,3
/richibrics/IoTuring/pulls,15,2
/richibrics/IoTuring/tree/main/IoTuring,8,3
/richibrics/IoTuring/issues,6,4
/richibrics/IoTuring/tree/github-repo-stats/richibrics/IoTuring,6,3
/richibrics/IoTuring/blob/main/docker-compose.yaml,6,2
/richibrics/IoTuring/tree/main/IoTuring/Entity/ValueFormat,6,1
/richibrics/IoTuring/blob/main/docs/images/device_info.png,5,2
/richibrics/IoTuring/blob/main/README.md,4,2
